Model,Features,Constraints,UVL2Logic Time (s),Variables,Clauses,fastOrder Time (s),Logic2BDD Time (s),BDD Nodes,Configurations,Info
security-CVE-VarelaVaca2020-2016-2221,361,339,1.6447e-06,361,353,128.3843,128.5618,1109,2044,
security-CVE-VarelaVaca2020-2012-0454,156,155,1.4342e-06,156,191,0.0492,0.0608,536,560,
systems_software-uClibc-Pett2023-2015-03-24_00-11-21,250,1438,1.4678e-06,250,1688,0.0888,0.1174,14337,6.43e29,
security-CVE-VarelaVaca2020-2008-1235,155,122,1.4715e-06,155,144,0.0476,0.0648,574,560,
security-CVE-VarelaVaca2020-2013-0800,522,598,1.7378e-06,522,653,0.3272,0.5355,3611,2504,
systems_software-XSEngine-Berger2013,1261,3803,1.6075e-06,1261,5064,0.8094,Timeout,,,
systems_software-BusyBox-Pett2021-2009-08-22_18-00-39,596,649,1.7019e-05,596,1245,0.061,0.1299,50928,1.35e134,
security-CVE-VarelaVaca2020-2019-15317,107,92,2.3302e-06,107,108,1.6177,1.7091,243,364,
security-CVE-VarelaVaca2020-2009-3984,171,138,1.8701e-06,171,156,0.0604,0.088,535,632,
security-CVE-VarelaVaca2020-2015-7198,331,557,1.8179e-06,331,575,0.2632,0.9798,1374,1324,
systems_software-uClibc-Pett2023-2009-09-17_09-29-59,240,1733,1.9614e-06,240,1973,0.0903,0.1531,6772,1.26e25,
security-CVE-VarelaVaca2020-2011-4899,111,88,2.4531e-06,111,103,1.4284,1.4416,401,772,
systems_software-BusyBox-Pett2021-2007-09-15_13-28-30,471,504,1.8124e-06,471,975,0.0525,0.1893,184193,1.78e108,
security-CVE-VarelaVaca2020-2014-1582,276,466,2.0713e-06,276,482,44.3934,44.7932,1136,1112,
security-CVE-VarelaVaca2020-2017-18593,161,1,1.9167e-06,161,15,7.3935,7.5534,307,592,
systems_software-BusyBox-Pett2021-2008-01-13_18-43-50,492,525,1.7621e-06,492,1017,0.0503,0.1468,100099,1.59e112,
security-CVE-VarelaVaca2020-2020-8426,284,449,1.8403e-06,284,467,52.7871,53.4337,927,1412,
security-CVE-VarelaVaca2020-2013-6673,557,657,2.2892e-06,557,710,0.3913,0.889,3966,2700,
security-CVE-VarelaVaca2020-2012-4202,509,549,2.4214e-06,509,610,0.2597,0.4607,3960,2288,
systems_software-BusyBox-Pett2021-2010-05-04_15-45-25,631,681,2.1644e-06,631,1312,0.0639,1.1696,5920,3.60e141,
systems_software-BusyBox-Pett2021-2008-03-20_16-04-36,535,569,1.7285e-06,535,1104,0.0588,0.1711,109975,2.74e123,
security-CVE-VarelaVaca2020-2013-3128,163,31,1.9856e-06,163,141,0.0342,0.0203,1287,1860,
systems_software-BusyBox-Pett2021-2007-07-19_21-49-30,456,482,1.8682e-06,456,938,0.0549,0.4594,1613,1.18e105,
security-CVE-VarelaVaca2020-2016-5260,350,881,2.1644e-06,350,899,102.8247,103.3364,1419,5788,
security-CVE-VarelaVaca2020-2012-1946,162,87,2.2668e-06,162,111,0.0481,0.0648,615,692,
systems_software-h8300h_sim-Knüppel2017,1195,828,1.9819e-06,1195,2006,0.5542,Timeout,,,
systems_software-uClibc-Pett2023-2009-08-01_01-40-34,238,1731,1.8086e-06,238,1969,0.0946,0.1478,6353,6.30e24,
systems_software-soletta-Pett2023-2015-09-30_20-58-45,280,886,2.5369e-06,280,1166,0.0513,0.0691,15947,1.11e33,
security-CVE-VarelaVaca2020-2009-2664,122,103,1.7751e-06,122,117,2.2769,2.3319,297,444,
security-CVE-VarelaVaca2020-2013-5604,475,578,1.7565e-06,475,606,0.3467,0.6863,2478,2332,
security-CVE-VarelaVaca2020-2012-4196,503,542,1.9278e-06,503,603,0.3093,0.4871,4140,2264,
systems_software-uClibc-Pett2023-2016-12-20_19-57-05,235,1231,1.8161e-06,235,1466,0.0833,0.1317,18213,2.83e27,
security-CVE-VarelaVaca2020-2019-16120,112,1,1.5125e-06,112,15,2.1113,2.2375,209,396,
systems_software-BusyBox-Pett2021-2009-06-18_08-20-02,585,637,1.9297e-06,585,1222,0.0589,0.1334,52937,1.42e132,
systems_software-BusyBox-Pett2021-2009-10-14_00-29-28,601,656,1.7397e-06,601,1257,0.0592,1.712,5045,1.55e135,
security-CVE-VarelaVaca2020-2013-0235,117,95,1.6671e-06,117,109,1.8712,1.8917,475,860,
systems_software-soletta-Pett2023-2016-05-05_23-28-36,410,1614,2.2631e-06,410,2024,0.0869,8.2809,47125,1.68e43,
security-CVE-VarelaVaca2020-2020-6814,886,1624,1.6037e-06,886,1650,1.2384,5.6068,4885,11152,
systems_software-uClibc-Pett2023-2008-10-06_08-55-23,233,1715,1.9260e-06,233,1948,0.0865,0.1507,14636,1.13e24,
security-CVE-VarelaVaca2020-2013-5597,475,578,2.2799e-06,475,606,0.2513,0.7467,2458,2332,
systems_software-uClibc-Pett2023-2015-12-05_21-00-06,236,1107,1.7285e-06,236,1343,0.0706,0.0949,920,8.43e19,
systems_software-phycore229x-Knüppel2017,1373,932,1.9129e-06,1373,2288,0.7943,Timeout,,,
systems_software-vrc4375-Berger2013,1259,3129,1.9595e-06,1259,4388,0.6067,Timeout,,,
games-Tankwar-Schulze2012,144,0,1.5274e-06,144,33,0.029,0.0388,238,4.21e18,
security-CVE-VarelaVaca2020-2015-5532,126,1,2.1011e-06,126,15,3.1606,3.3463,237,452,
security-CVE-VarelaVaca2020-2013-2200,118,96,2.5332e-06,118,110,1.9512,1.9807,463,864,
security-CVE-VarelaVaca2020-2014-8801,114,1,1.7677e-06,114,16,2.2713,2.2826,214,400,
security-CVE-VarelaVaca2020-2016-5264,363,883,2.3060e-06,363,907,0.3247,1.2821,2230,5816,
security-CVE-VarelaVaca2020-2014-1587,600,716,2.1476e-06,600,742,0.4897,1.1116,2959,3036,
systems_software-BusyBox-Pett2021-2009-10-25_04-35-22,602,657,1.7378e-06,602,1259,0.0653,0.8796,2622,2.79e135,
deep_learning-cnn-architecture-Ghamizi2019-full,6867,9,2.1569e-06,6867,3526,Timeout,,,,
security-CVE-VarelaVaca2020-2015-4516,318,550,1.8012e-06,318,566,74.1691,74.5094,963,1280,
security-CVE-VarelaVaca2020-2012-1938,447,349,2.0079e-06,447,403,0.2188,0.35,2563,1908,
systems_software-mace1-Berger2013,1235,3770,1.8645e-06,1235,5005,0.6132,Timeout,,,
security-CVE-VarelaVaca2020-2016-1973,340,831,1.9055e-06,340,853,0.2799,1.0858,1768,5732,
systems_software-BusyBox-Pett2021-2008-10-15_14-50-14,558,579,1.8552e-06,558,1137,0.0597,0.1877,161213,2.04e127,
security-CVE-VarelaVaca2020-2009-3078,119,98,1.8440e-06,119,112,1.9671,2.111,285,432,
security-CVE-VarelaVaca2020-2019-17673,522,498,1.9539e-06,522,512,432.2485,428.2778,1852,2964,
security-CVE-VarelaVaca2020-2015-4517,327,551,1.8794e-06,327,569,0.2489,0.9517,1292,1308,
security-CVE-VarelaVaca2020-2009-2468,106,85,2.2408e-06,106,99,1.2596,1.3355,258,380,
systems_software-soletta-Pett2023-2016-04-26_18-40-41,396,1559,2.5742e-06,396,1955,0.1005,3.9846,146725,5.15e41,
systems_software-ts6-Berger2013,1241,3235,1.7025e-06,1241,4476,0.5719,Timeout,,,
security-CVE-VarelaVaca2020-2016-2839,364,1177,1.8384e-06,364,1204,0.3901,1.4417,2052,16232,
systems_software-BusyBox-Pett2021-2009-01-22_13-27-14,573,598,1.9316e-06,573,1171,0.0631,0.1575,100150,1.39e130,
security-CVE-VarelaVaca2020-2020-7109,283,447,2.1867e-06,283,465,51.8977,51.794,1012,1408,
security-CVE-VarelaVaca2020-2016-2798,392,836,2.0042e-06,392,871,0.3511,1.2516,2540,5888,
security-CVE-VarelaVaca2020-2012-3995,484,531,2.2873e-06,484,589,0.2295,0.4272,3496,2160,
security-CVE-VarelaVaca2020-2009-3555,420,187,1.7174e-06,420,225,0.1557,0.3032,1456,3208,
systems_software-Fiasco-Pett2023-2018-11-19_10-41-18,238,1302,1.9614e-06,238,1540,0.0869,0.4446,15222,1.65e8,
systems_software-se77x9-Berger2013,1320,49937,2.5183e-06,1320,51257,70.4629,Timeout,,,
security-CVE-VarelaVaca2020-2008-5511,103,65,1.7043e-06,103,96,0.0282,0.0248,433,296,
security-CVE-VarelaVaca2020-2011-3670,346,287,1.9278e-06,346,309,0.1329,0.2467,1398,1416,
security-CVE-VarelaVaca2020-2009-1312,107,85,2.1160e-06,107,100,0.0434,0.0712,300,380,
security-CVE-VarelaVaca2020-2012-1957,165,87,1.8589e-06,165,111,0.0507,0.0633,626,716,
security-CVE-VarelaVaca2020-2013-0756,518,576,2.1905e-06,518,628,0.2744,0.5099,3188,2396,
security-CVE-VarelaVaca2020-2019-17672,522,498,2.3060e-06,522,512,425.6284,427.8103,1607,2964,
security-CVE-VarelaVaca2020-2009-2061,107,88,2.3097e-06,107,102,1.4667,1.4094,252,380,
security-CVE-VarelaVaca2020-2018-0589,206,1,1.9856e-06,206,15,18.1178,18.1687,397,772,
security-CVE-VarelaVaca2020-2016-1952,551,1004,2.0023e-06,551,1040,0.5078,1.7056,2864,6844,
systems_software-uClibc-Pett2023-2008-11-14_00-35-40,236,1720,2.0862e-06,236,1956,0.0917,0.1438,7809,4.49e24,
systems_software-malta_mips32_4kc-Berger2013,1233,3213,2.0657e-06,1233,4446,0.5677,Timeout,,,
security-CVE-VarelaVaca2020-2017-18574,177,161,2.7884e-06,177,177,9.5926,9.8433,419,648,
security-CVE-VarelaVaca2020-2013-0788,320,440,1.9968e-06,320,466,0.1784,0.4335,1543,1500,
security-CVE-VarelaVaca2020-2015-7196,331,557,2.1551e-06,331,575,0.2568,0.9708,1300,1324,
systems_software-soletta-Pett2023-2015-07-06_15-16-16,111,203,1.9241e-06,111,314,0.021,0.0318,188,1.55e20,
security-CVE-VarelaVaca2020-2018-10234,213,1,1.7621e-06,213,15,21.118,21.0844,411,800,
security-CVE-VarelaVaca2020-2013-1695,238,398,1.8347e-06,238,414,23.8134,24.193,706,928,
systems_software-soletta-Pett2023-2015-06-30_18-40-26,100,179,2.0061e-06,100,279,0.0202,0.0314,268,2.00e18,
security-CVE-VarelaVaca2020-2015-4485,340,551,2.1569e-06,340,581,0.3062,0.9555,1477,1308,
security-CVE-VarelaVaca2020-2016-2825,367,882,1.7677e-06,367,911,0.3455,1.4006,1905,5808,
security-CVE-VarelaVaca2020-2012-2400,109,87,1.9390e-06,109,101,1.3295,1.4693,444,764,
systems_software-BusyBox-Pett2021-2010-04-29_13-43-39,631,681,1.9055e-06,631,1312,0.0638,1.9339,5418,3.60e141,
security-CVE-VarelaVaca2020-2015-0818,422,595,2.4773e-06,422,617,0.2804,0.962,1760,2036,
security-CVE-VarelaVaca2020-2016-2827,354,893,1.8179e-06,354,911,106.3736,107.1725,1408,5804,
security-CVE-VarelaVaca2020-2013-0747,518,576,1.9912e-06,518,628,0.2914,0.534,3268,2396,
systems_software-BusyBox-Pett2021-2009-04-22_21-35-52,578,619,2.1681e-06,578,1197,0.0556,0.1318,91422,1.61e131,
